"Revision","Author","Date","Message"
"692","yancyn","2012-07-30 21:25:19","updating delivery."
"691","yancyn","2012-07-28 11:05:17","adding new orders."
"690","yancyn","2012-07-20 01:41:56","corrected validation on wrong stock item based on gender."
"689","yancyn","2012-07-20 01:41:11","added new order."
"688","yancyn","2012-07-15 14:11:14","update delivery."
"687","yancyn","2012-07-14 13:19:18","added new word."
"686","yancyn","2012-07-12 22:47:53","adding new order.added new word."
"685","yancyn","2012-07-09 11:08:58","added new orders."
"684","yancyn","2012-07-07 14:25:26","adding jawi word."
"683","yancyn","2012-07-07 12:57:15","added new orders."
"682","yancyn","2012-07-01 09:44:08","adding new order from addin."
"681","yancyn","2012-06-24 10:17:11","added new words."
"680","yancyn","2012-06-24 10:15:22","update delivery and added new orders."
"679","yancyn","2012-06-19 08:56:46","updating delivery.added support for baby nisan stone."
"678","yancyn","2012-06-16 12:07:24","adding new order"
"677","yancyn","2012-06-16 09:17:03","updating delivery."
"676","yancyn","2012-06-10 17:40:14","added new order."
"675","yancyn","2012-05-31 23:19:07","adding new order."
"674","yancyn","2012-05-31 00:02:00","update delivery for hamid."
"673","yancyn","2012-05-30 22:31:10","adding new order from hamid."
"672","yancyn","2012-05-27 22:21:38","added new order."
"671","yancyn","2012-05-21 09:08:26","update delivery for hamid."
"670","yancyn","2012-05-19 14:26:16","added new word."
"669","yancyn","2012-05-14 23:26:42","adding new order from hamid."
"668","yancyn","2012-05-14 22:58:37","added new order from pak din."
"667","yancyn","2012-05-05 13:31:41","added new order from Hamid."
"666","yancyn","2012-05-04 23:28:34","adding new order from addin."
"665","yancyn","2012-05-01 14:11:02","added new order from Addin."
"664","yancyn","2012-04-29 12:23:53","added word template."
"663","yancyn","2012-04-29 11:58:52","show asterisk in front of name if there are some remarks to taking care."
"662","yancyn","2012-04-25 11:48:55","updating delivery for hamid and 1 new order from Hapisah."
"661","yancyn","2012-04-24 23:01:32","adding new order from hamid."
"660","yancyn","2012-04-24 22:58:07","adding new word templates."
"659","yancyn","2012-04-23 11:45:17","updating delivery."
"658","yancyn","2012-04-22 21:21:46","update delivery & new order from pak din."
"657","yancyn","2012-04-22 21:20:13","added new word templates."
"656","yancyn","2012-04-22 12:45:06","adding new order from addin."
"655","yancyn","2012-04-19 19:01:24","updating delivery date for Hamid's.adding some word template and rehal dimension bitmap."
"654","yancyn","2012-04-18 23:23:01","finetune mohd2 template."
"653","yancyn","2012-04-17 09:53:04","updating delivery."
"652","yancyn","2012-04-17 01:15:07","updating order."
"651","yancyn","2012-04-17 00:19:48","date correction."
"650","yancyn","2012-04-17 00:07:11","added new order from hamid."
"649","yancyn","2012-04-16 17:32:33","updating delivery."
"648","yancyn","2012-04-12 15:26:18","fixed the ½ comparison issue in javascript. use its unicode value instead \u00BD."
"647","yancyn","2012-04-12 14:15:38","date correction."
"646","yancyn","2012-04-12 13:58:19","added numbering for Muslim month."
"645","yancyn","2012-04-12 13:57:00","added new order from Hamid."
"644","yancyn","2012-04-11 18:14:40","added new order from semanggol."
"643","yancyn","2012-04-02 23:56:08","accept enter key to close window and return MesageResult.OK during generate jawi svg."
"642","yancyn","2012-04-02 23:41:38","updating delivery."
"641","yancyn","2012-03-31 12:47:42","adding new orders."
"640","yancyn","2012-03-29 17:46:23","adding new order from hamid."
"639","yancyn","2012-03-26 10:19:11","updating delivery and new order."
"638","yancyn","2012-03-23 18:12:11","adding jawi to hamid's order."
"637","yancyn","2012-03-23 00:40:25","adding new order from hamid."
"636","yancyn","2012-03-18 22:38:50","adding new order for Selama."
"635","yancyn","2012-03-18 10:25:32","adding new order from hamid."
"634","yancyn","2012-03-18 09:44:55","adding new order from Addin."
"633","yancyn","2012-03-15 18:21:48","created a full test for year 1433 hijri.added test setting to solution.muslim calendar datasheet should not part of library."
"632","yancyn","2012-03-14 18:25:34","adding new order from pak din."
"631","yancyn","2012-03-07 14:39:13","added setting for JawiEntry app."
"630","yancyn","2012-03-07 14:36:40","added jawi translate from ejawi.net method."
"629","yancyn","2012-03-07 13:19:10","changed all duplicated class to soft link as reference to its original HLGranite.Jawi class."
"628","yancyn","2012-03-07 12:56:04","added a new class for nisan writer."
"627","yancyn","2012-03-07 12:05:57","updating order list."
"626","yancyn","2012-03-06 21:41:27","adding new order."
"625","yancyn","2012-03-01 12:38:26","added muslim month at bottom page."
"624","yancyn","2012-03-01 12:34:17","adding new order from hamid."
"623","yancyn","2012-02-28 12:10:05","corrected capital letter case for highlight red in validation fail, wrong name tight to a wrong gender item."
"622","yancyn","2012-02-28 12:07:50","adding new order from addin."
"621","yancyn","2012-02-24 19:17:17","adding new order from hamid."
"620","yancyn","2012-02-24 16:40:23","removed mat3 template."
"619","yancyn","2012-02-21 17:04:03","adding new order from addin."
"618","yancyn","2012-02-20 13:59:18","moved basmala template to parent folder. it messed up the display during showing word template."
"617","yancyn","2012-02-20 13:57:43","adding new orders."
"616","yancyn","2012-02-19 14:33:01","correction."
"615","yancyn","2012-02-14 18:48:06","added jawi entry form project."
"614","yancyn","2012-02-14 17:41:26","add numbering for index.htm in jquery."
"613","yancyn","2012-02-14 15:59:40","adding new order from hamid."
"612","yancyn","2012-02-10 19:08:26","adding new order from addin."
"611","yancyn","2012-02-08 11:48:21","updating addin order."
"610","yancyn","2012-02-02 22:26:36","added new word template."
"609","yancyn","2012-02-01 18:46:14","adding new order from addin."
"608","yancyn","2012-01-30 14:58:21","separate class.added unit test for convert Gregorian date to Muslim."
"607","yancyn","2012-01-30 14:38:49","display age in description for index.htm(jquery version)."
"606","yancyn","2012-01-30 14:36:48","added new order from Hamid."
"605","yancyn","2012-01-30 11:37:44","updating delivery date."
"604","yancyn","2012-01-28 11:34:03","added order from addin."
"603","yancyn","2012-01-24 18:01:44","updating delivery date."
"602","yancyn","2012-01-21 13:07:16","added new order from addin."
"601","yancyn","2012-01-20 14:19:38","updating hamid delivery."
"600","yancyn","2012-01-16 11:53:47","updating delivery date."
"599","yancyn","2012-01-14 11:12:24","updating rehal measurement"
"598","yancyn","2012-01-12 23:39:23","updating nisan order."
"597","yancyn","2012-01-11 14:50:09","update version in window title to ver 1.12.110.595"
"596","yancyn","2012-01-11 14:45:17","adding new order from hamid."
"595","yancyn","2012-01-10 11:21:23","fixed 1st Muslim date convert error."
"594","yancyn","2012-01-10 10:45:42","updated 2012 muslim calendar conversion.added support generate marble nisan.updated delivery."
"593","yancyn","2012-01-09 11:51:14","updating hamid delivery."
"592","yancyn","2012-01-09 11:45:10","added new nisan order."
"591","yancyn","2012-01-09 11:44:40","set color to gray for if it is marble item."
"590","yancyn","2012-01-09 11:13:49","updated inner cut hole for rehal and exported bitmap."
"589","yancyn","2012-01-07 10:16:06","updating order."
"588","yancyn","2012-01-05 18:54:15","draft 3D plan for 3'x6' rehal."
"587","yancyn","2012-01-05 18:22:05","remove wrong word template."
"586","yancyn","2012-01-04 18:01:43","updating nisan order."
"585","yancyn","2012-01-03 18:23:36","added order from pak din."
"584","yancyn","2012-01-03 15:55:25","adding new nian order."
"583","yancyn","2011-12-28 10:37:25","updating order."
"582","yancyn","2011-12-23 01:42:59","corrected item type for addin marble."
"581","yancyn","2011-12-20 11:51:15","updated delivery date."
"580","yancyn","2011-12-19 21:11:23","added new order from addin."
"579","yancyn","2011-12-14 18:55:46","added new order from addin."
"578","yancyn","2011-12-14 15:01:26","updating delivery date."
"577","yancyn","2011-12-13 11:28:32","updating new order from hamid."
"576","yancyn","2011-12-08 23:19:01","updating price."
"575","yancyn","2011-12-08 09:41:04","updating delivery date."
"574","yancyn","2011-12-07 09:37:33","added jquery 1.3.2."
"573","yancyn","2011-12-06 22:57:57","updated order list.removed extra word template."
"572","yancyn","2011-12-06 11:48:44","added new order from addin."
"571","yancyn","2011-12-03 10:42:10","corrected muslim date."
"570","yancyn","2011-12-03 10:22:38","added new order from hamid."
"569","yancyn","2011-12-02 11:35:59","added new order from Semanggol."
"568","yancyn","2011-11-29 17:04:24","added new order."
"567","yancyn","2011-11-26 09:31:16","added order from Addin."
"566","yancyn","2011-11-21 17:27:07","added aging column into index page."
"565","yancyn","2011-11-21 14:54:35","touch up coding. no logic changes."
"564","yancyn","2011-11-21 14:53:37","update delivery date."
"563","yancyn","2011-11-19 18:55:51","added new order from Hamid."
"562","yancyn","2011-11-19 18:14:19","added new nisan order from addin."
"561","yancyn","2011-11-17 18:45:16","adding new nisan order."
"560","yancyn","2011-11-17 18:44:46","added new word library."
"559","yancyn","2011-11-14 11:20:36","updating delivery date."
"558","yancyn","2011-11-12 12:11:57","added new nisan order."
"557","yancyn","2011-11-11 13:57:50","updating new nisan order."
"556","yancyn","2011-11-09 20:56:13","adding new hamid order."
"555","yancyn","2011-11-09 15:00:14","adding new nisan order."
"554","yancyn","2011-11-07 10:00:10","adding new order from ChinTak."
"553","yancyn","2011-11-07 09:04:27","updating delivery date."
"552","yancyn","2011-11-05 11:55:59","update delivery date."
"551","yancyn","2011-11-03 22:58:57",""
"550","yancyn","2011-11-03 22:05:48","added new nisan order."
"549","yancyn","2011-11-02 23:26:26","corrected nisan item."
"548","yancyn","2011-11-02 22:30:03","update delivery date and adding new order for hari haji."
"547","yancyn","2011-10-27 21:30:35","update delivered to nisan order."
"546","yancyn","2011-10-26 22:59:21","corrected nisan.xml file format."
"545","yancyn","2011-10-26 15:27:27","corrected nisan.xml format."
"544","yancyn","2011-10-26 13:22:08","adding new nisan order."
"543","yancyn","2011-10-26 13:18:44","corrected said word template."
"542","yancyn","2011-10-24 22:01:47","combined SvgFileGenerator into 1 assembly to enable execute in Ubuntu as well. Temporarily Ubuntu not supported satellite build."
"541","yancyn","2011-10-17 12:35:20","adding new order."
"540","yancyn","2011-10-14 18:25:43","refactor code and added validation to data entry when displaying row by row. Highlight as red and blinking.make the table smaller to gain more space for printing use later."
"539","yancyn","2011-10-14 17:45:45","added new order."
"538","yancyn","2011-10-14 17:45:23","changed title for the web page."
"537","yancyn","2011-10-14 17:31:47","refactor code.show a pan hand when hover on checkbox so user can know there is checkable."
"536","yancyn","2011-10-14 17:04:59","added strikethrough feature at the end of each row to provide a runtime indication this item is working on or sent to plotter."
"535","yancyn","2011-10-13 17:36:45","filter all sales in selected month (despite of pending or completed item)"
"534","yancyn","2011-10-13 16:54:30","highlight the value when filter on soldto or month."
"533","yancyn","2011-10-13 16:16:16","adding new nisan order."
"532","yancyn","2011-10-13 15:26:17","added footer into table.romanized the name."
"531","yancyn","2011-10-13 14:46:31","added total counter for pending list. This is the workaround to replace the numbering feature."
"530","yancyn","2011-10-13 14:23:43","added color font based on different item type."
"529","yancyn","2011-10-13 13:52:14","added filter by soldto and month to nisan pending list."
"528","yancyn","2011-10-13 11:08:10","hooked sorting into nisan pending webpage."
"527","yancyn","2011-10-13 10:45:59","initial webpage for nisan pending list by jquery."
"526","yancyn","2011-10-13 10:42:09","hooked back a missing web project."
"525","yancyn","2011-10-13 10:41:40","created a javascript folder."
"524","yancyn","2011-10-12 19:32:06","adding new order from Hamid."
"523","yancyn","2011-10-12 13:17:32","adding new order from Addin."
"522","yancyn","2011-10-10 15:53:24","updating delivery date."
"521","yancyn","2011-10-09 11:36:40","added new order from hamid."
"520","yancyn","2011-10-09 11:34:52","adding new words into template library."
"519","yancyn","2011-10-04 17:33:12","FindLinadui: added a permanent link to gdocs."
"518","yancyn","2011-10-04 17:20:28","adding new order."
"517","yancyn","2011-10-03 18:17:26","FindLiandui: prevent save filter result to resource file."
"516","yancyn","2011-10-03 16:44:32","FindLiandui: adding number format when display record found at footer."
"515","yancyn","2011-10-03 14:17:05","enabled search traditional chinese or simplified chinese in FindLiandui."
"514","yancyn","2011-10-03 10:03:26","updating order."
"513","yancyn","2011-10-02 19:55:26","update order."
"512","yancyn","2011-10-02 19:54:59","removed halimah2."
"511","yancyn","2011-09-30 21:45:55","added radiobutton to determin whether search first word or match case during find liandui."
"510","yancyn","2011-09-30 20:38:05","able to search multiple character in a time for liandui."
"509","yancyn","2011-09-30 20:22:43","removing redundant liandui entry in datasheet."
"508","yancyn","2011-09-30 20:21:39","check redundant entry for liandui datasheet."
"507","yancyn","2011-09-30 19:18:14","updating liandui."
"506","yancyn","2011-09-30 17:03:42","updating liandui."
"505","yancyn","2011-09-30 15:22:32","updating liandui."
"504","yancyn","2011-09-29 21:31:17","updating liandui."
